schema	atelier-codev-readout-v1
surface.12.radius_y_mm	1.81174
surface.12.thickness_mm	0.686
surface.12.semi_diameter_mm	2.13553
surface.12.glass	550000.536500
surface.12.nd	1.55
surface.12.vd	0
surface.12.surface_type	ASP
surface.12.is_stop	0
surface.12.asphere.K	-8.3116
surface.12.asphere.A	0.0536883
surface.12.asphere.B	-0.048371
surface.12.asphere.C	0.0192101
surface.12.asphere.D	-0.00581155
surface.12.asphere.E	0.00100839
surface.12.asphere.F	-0.000068
surface.12.asphere.G	-2.607571e-09
surface.12.asphere.H	0
surface.12.asphere.J	0
surface.13.radius_y_mm	4.54872
surface.13.thickness_mm	0.52906
surface.13.semi_diameter_mm	2.62603
surface.13.glass	
surface.13.nd	1
surface.13.vd	0
surface.13.surface_type	ASP
surface.13.is_stop	0
surface.13.asphere.K	-1.8332
surface.13.asphere.A	0.0635802
surface.13.asphere.B	-0.0425369
surface.13.asphere.C	0.0111029
surface.13.asphere.D	-0.00174748
surface.13.asphere.E	0.000157697
surface.13.asphere.F	-0.000006
surface.13.asphere.G	2.950561e-10
surface.13.asphere.H	0
surface.13.asphere.J	0
surface.14.radius_y_mm	1.67587
surface.14.thickness_mm	0.612
surface.14.semi_diameter_mm	5.47662
surface.14.glass	542000.657560
surface.14.nd	1.542
surface.14.vd	0
surface.14.surface_type	ASP
surface.14.is_stop	0
surface.14.asphere.K	-2.685
surface.14.asphere.A	-0.184746
surface.14.asphere.B	0.0509797
surface.14.asphere.C	-0.00721476
surface.14.asphere.D	0.000676372
surface.14.asphere.E	-0.000049
surface.14.asphere.F	0.000003
surface.14.asphere.G	-6.355525e-08
surface.14.asphere.H	0
surface.14.asphere.J	0
surface.15.radius_y_mm	1.03051
surface.15.thickness_mm	0.634029
surface.15.semi_diameter_mm	5.13897
surface.15.glass	
surface.15.nd	1
surface.15.vd	0
surface.15.surface_type	ASP
surface.15.is_stop	0
surface.15.asphere.K	-2.36
surface.15.asphere.A	-0.134738
surface.15.asphere.B	0.0568238
surface.15.asphere.C	-0.0161219
surface.15.asphere.D	0.00266211
surface.15.asphere.E	-0.000244169
surface.15.asphere.F	0.000012
surface.15.asphere.G	-2.197231e-07
surface.15.asphere.H	0
surface.15.asphere.J	0
surface.16.radius_y_mm	1.000000e+18
surface.16.thickness_mm	0.21
surface.16.semi_diameter_mm	4.82189
surface.16.glass	485000.029520
surface.16.nd	1.485
surface.16.vd	0
surface.16.surface_type	CON
surface.16.is_stop	0
surface.16.asphere.K	0
surface.16.asphere.A	0
surface.16.asphere.B	0
surface.16.asphere.C	0
surface.16.asphere.D	0
surface.16.asphere.E	0
surface.16.asphere.F	0
surface.16.asphere.G	0
surface.16.asphere.H	0
surface.16.asphere.J	0
surface.17.radius_y_mm	1.000000e+18
surface.17.thickness_mm	0.193029
surface.17.semi_diameter_mm	4.96149
surface.17.glass	
surface.17.nd	1
surface.17.vd	0
surface.17.surface_type	CON
surface.17.is_stop	0
surface.17.asphere.K	0
surface.17.asphere.A	0
surface.17.asphere.B	0
surface.17.asphere.C	0
surface.17.asphere.D	0
surface.17.asphere.E	0
surface.17.asphere.F	0
surface.17.asphere.G	0
surface.17.asphere.H	0
surface.17.asphere.J	0
surface.18.radius_y_mm	1.000000e+18
surface.18.thickness_mm	0
surface.18.semi_diameter_mm	5.24022
surface.18.glass	
surface.18.nd	1
surface.18.vd	0
surface.18.surface_type	CON
surface.18.is_stop	0
surface.18.asphere.K	0
surface.18.asphere.A	0
surface.18.asphere.B	0
surface.18.asphere.C	0
surface.18.asphere.D	0
surface.18.asphere.E	0
surface.18.asphere.F	0
surface.18.asphere.G	0
surface.18.asphere.H	0
surface.18.asphere.J	0
wavelength.1.wavelength_nm	587.56
wavelength.1.weight	1
field.1.definition_type	ANG
field.1.x	0
field.1.y	0
field.1.vuy	0
field.1.vly	0
field.1.vux	0
field.1.vlx	0
field.2.definition_type	ANG
field.2.x	0
field.2.y	45.5
field.2.vuy	0
field.2.vly	0
field.2.vux	0
field.2.vlx	0
field.3.definition_type	ANG
field.3.x	0
field.3.y	32.1685
field.3.vuy	0
field.3.vly	0
field.3.vux	0
field.3.vlx	0
