schema	atelier-codev-readout-v1
status	ok
source_zmx	US20170003482A1.zmx
units	M
aperture_type	FNO
f_number	2.32
entrance_pupil_diameter_mm	1.63664
num_surfaces	18
num_fields	3
num_wavelengths	3
num_zooms	1
stop_surface	3
field_type	ANG
reference_wavelength_index	2
image_height_y_mm	3.86386
surface.1.radius_y_mm	3.27452
surface.1.thickness_mm	0.32
surface.1.semi_diameter_mm	0.947628
surface.1.glass	544000.559000
surface.1.nd	1.544
surface.1.vd	55.9
surface.1.surface_type	ASP
surface.1.is_stop	0
surface.1.asphere.K	-4.0388
surface.1.asphere.A	-0.0202392
surface.1.asphere.B	0.0433739
surface.1.asphere.C	-0.0373509
surface.1.asphere.D	0.0209273
surface.1.asphere.E	0.00358736
surface.1.asphere.F	-0.00540538
surface.1.asphere.G	0.000337334
surface.1.asphere.H	0
surface.1.asphere.J	0
surface.2.radius_y_mm	3.162
surface.2.thickness_mm	0.0697826
surface.2.semi_diameter_mm	0.795305
surface.2.glass	
surface.2.nd	1
surface.2.vd	0
surface.2.surface_type	ASP
surface.2.is_stop	0
surface.2.asphere.K	-40.479
surface.2.asphere.A	-0.106366
surface.2.asphere.B	0.115565
surface.2.asphere.C	0.00836813
surface.2.asphere.D	-0.163794
surface.2.asphere.E	0.197785
surface.2.asphere.F	-0.0875835
surface.2.asphere.G	-0.000234857
surface.2.asphere.H	0
surface.2.asphere.J	0
surface.3.radius_y_mm	1.000000e+18
surface.3.thickness_mm	0.00108592
surface.3.semi_diameter_mm	0.793564
surface.3.glass	
surface.3.nd	1
surface.3.vd	0
surface.3.surface_type	ASP
surface.3.is_stop	1
surface.3.asphere.K	0
surface.3.asphere.A	-0.000041
surface.3.asphere.B	-0.000072
surface.3.asphere.C	-0.000126587
surface.3.asphere.D	-0.000221677
surface.3.asphere.E	-4.601556e-11
surface.3.asphere.F	-1.927183e-11
surface.3.asphere.G	-9.280626e-12
surface.3.asphere.H	0
surface.3.asphere.J	0
surface.4.radius_y_mm	2.10033
surface.4.thickness_mm	0.378
surface.4.semi_diameter_mm	0.819899
surface.4.glass	544000.559000
surface.4.nd	1.544
surface.4.vd	55.9
surface.4.surface_type	ASP
surface.4.is_stop	0
surface.4.asphere.K	-12.202
surface.4.asphere.A	-0.112025
surface.4.asphere.B	0.0802916
surface.4.asphere.C	-0.137416
surface.4.asphere.D	0.0196052
surface.4.asphere.E	0.211187
surface.4.asphere.F	-0.231947
surface.4.asphere.G	0.000021
surface.4.asphere.H	0
surface.4.asphere.J	0
surface.5.radius_y_mm	16.1058
surface.5.thickness_mm	0.0523824
surface.5.semi_diameter_mm	0.928968
surface.5.glass	
surface.5.nd	1
surface.5.vd	0
surface.5.surface_type	ASP
surface.5.is_stop	0
surface.5.asphere.K	39.86
surface.5.asphere.A	-0.0642183
surface.5.asphere.B	-0.108536
surface.5.asphere.C	0.112313
surface.5.asphere.D	-0.0882692
surface.5.asphere.E	0.00570377
surface.5.asphere.F	-0.0102303
surface.5.asphere.G	0.000007
surface.5.asphere.H	0
surface.5.asphere.J	0
surface.6.radius_y_mm	7.29387
surface.6.thickness_mm	0.24
surface.6.semi_diameter_mm	0.999751
surface.6.glass	639000.235000
surface.6.nd	1.639
surface.6.vd	23.5
surface.6.surface_type	ASP
surface.6.is_stop	0
surface.6.asphere.K	41.242
surface.6.asphere.A	-0.0127133
surface.6.asphere.B	-0.012493
surface.6.asphere.C	0.0039255
surface.6.asphere.D	-0.0432638
surface.6.asphere.E	0.0208957
surface.6.asphere.F	-0.0108894
surface.6.asphere.G	0.000019
surface.6.asphere.H	0
surface.6.asphere.J	0
surface.7.radius_y_mm	3.64357
surface.7.thickness_mm	0.307824
surface.7.semi_diameter_mm	1.09875
surface.7.glass	
surface.7.nd	1
surface.7.vd	0
surface.7.surface_type	ASP
surface.7.is_stop	0
surface.7.asphere.K	-1.9093
surface.7.asphere.A	0.00696254
surface.7.asphere.B	-0.00242388
surface.7.asphere.C	-0.00998396
surface.7.asphere.D	-0.00898316
surface.7.asphere.E	-0.000078
surface.7.asphere.F	-0.000067
surface.7.asphere.G	-0.00004
surface.7.asphere.H	0
surface.7.asphere.J	0
surface.8.radius_y_mm	28.2217
surface.8.thickness_mm	0.714
surface.8.semi_diameter_mm	1.14303
surface.8.glass	544000.559000
surface.8.nd	1.544
surface.8.vd	55.9
surface.8.surface_type	ASP
surface.8.is_stop	0
surface.8.asphere.K	28.779
surface.8.asphere.A	-0.0496429
surface.8.asphere.B	-0.0117786
surface.8.asphere.C	-0.0175026
surface.8.asphere.D	-0.00482568
surface.8.asphere.E	0.0130136
surface.8.asphere.F	-0.000069
surface.8.asphere.G	0.000024
surface.8.asphere.H	0
surface.8.asphere.J	0
surface.9.radius_y_mm	-4.79361
surface.9.thickness_mm	0.162031
surface.9.semi_diameter_mm	1.28486
surface.9.glass	
surface.9.nd	1
surface.9.vd	0
surface.9.surface_type	ASP
surface.9.is_stop	0
surface.9.asphere.K	11.4
surface.9.asphere.A	-0.0986692
surface.9.asphere.B	-0.232842
surface.9.asphere.C	0.694491
surface.9.asphere.D	-0.909661
surface.9.asphere.E	0.699025
surface.9.asphere.F	-0.301837
surface.9.asphere.G	0.0555806
surface.9.asphere.H	0
surface.9.asphere.J	0
surface.10.radius_y_mm	-1.75671
surface.10.thickness_mm	0.301
surface.10.semi_diameter_mm	1.31269
surface.10.glass	639000.235000
surface.10.nd	1.639
surface.10.vd	23.5
surface.10.surface_type	ASP
surface.10.is_stop	0
surface.10.asphere.K	0.64893
surface.10.asphere.A	-0.0760817
surface.10.asphere.B	0.0658777
surface.10.asphere.C	0.222029
surface.10.asphere.D	-0.240739
surface.10.asphere.E	0.0970423
surface.10.asphere.F	-0.0141969
surface.10.asphere.G	-0.000094
surface.10.asphere.H	0
surface.10.asphere.J	0
surface.11.radius_y_mm	-3.57252
surface.11.thickness_mm	0.0700795
surface.11.semi_diameter_mm	1.60748
surface.11.glass	
surface.11.nd	1
surface.11.vd	0
surface.11.surface_type	ASP
surface.11.is_stop	0
surface.11.asphere.K	-1.1417
surface.11.asphere.A	-0.15243
surface.11.asphere.B	0.182251
surface.11.asphere.C	-0.0799418
surface.11.asphere.D	0.0221813
surface.11.asphere.E	-0.00484378
surface.11.asphere.F	0.000561721
surface.11.asphere.G	-8.526918e-08
surface.11.asphere.H	0
surface.11.asphere.J	0
surface.12.radius_y_mm	1.79758
surface.12.thickness_mm	0.686
surface.12.semi_diameter_mm	2.21534
surface.12.glass	544000.559000
surface.12.nd	1.544
surface.12.vd	55.9
surface.12.surface_type	ASP
surface.12.is_stop	0
surface.12.asphere.K	-8.3116
surface.12.asphere.A	0.0533155
surface.12.asphere.B	-0.048393
surface.12.asphere.C	0.0192069
surface.12.asphere.D	-0.00581139
surface.12.asphere.E	0.00100843
surface.12.asphere.F	-0.000068
surface.12.asphere.G	-3.764937e-10
surface.12.asphere.H	0
surface.12.asphere.J	0
surface.13.radius_y_mm	4.55354
surface.13.thickness_mm	0.52633
surface.13.semi_diameter_mm	2.68765
surface.13.glass	
surface.13.nd	1
surface.13.vd	0
surface.13.surface_type	ASP
surface.13.is_stop	0
surface.13.asphere.K	-1.8332
surface.13.asphere.A	0.0637252
surface.13.asphere.B	-0.0425845
surface.13.asphere.C	0.0111019
surface.13.asphere.D	-0.00174749
surface.13.asphere.E	0.000157691
surface.13.asphere.F	-0.000006
surface.13.asphere.G	-2.318998e-11
surface.13.asphere.H	0
surface.13.asphere.J	0
surface.14.radius_y_mm	1.68415
surface.14.thickness_mm	0.612
surface.14.semi_diameter_mm	2.85714
surface.14.glass	534999.557000
surface.14.nd	1.535
surface.14.vd	55.7
surface.14.surface_type	ASP
surface.14.is_stop	0
surface.14.asphere.K	-2.685
surface.14.asphere.A	-0.184754
surface.14.asphere.B	0.0509796
surface.14.asphere.C	-0.00721475
surface.14.asphere.D	0.000676376
surface.14.asphere.E	-0.000049
surface.14.asphere.F	0.000003
surface.14.asphere.G	-6.355901e-08
surface.14.asphere.H	0
surface.14.asphere.J	0
surface.15.radius_y_mm	1.0428
surface.15.thickness_mm	0.630104
surface.15.semi_diameter_mm	3.18294
surface.15.glass	
surface.15.nd	1
surface.15.vd	0
surface.15.surface_type	ASP
surface.15.is_stop	0
surface.15.asphere.K	-2.36
surface.15.asphere.A	-0.1347
surface.15.asphere.B	0.0568267
surface.15.asphere.C	-0.0161219
surface.15.asphere.D	0.00266211
surface.15.asphere.E	-0.000244169
surface.15.asphere.F	0.000012
surface.15.asphere.G	-2.197187e-07
surface.15.asphere.H	0
surface.15.asphere.J	0
surface.16.radius_y_mm	1.000000e+18
surface.16.thickness_mm	0.21
surface.16.semi_diameter_mm	3.55169
surface.16.glass	516999.642000
surface.16.nd	1.517
surface.16.vd	64.2
surface.16.surface_type	SPH
surface.16.is_stop	0
surface.16.asphere.K	0
surface.16.asphere.A	0
surface.16.asphere.B	0
surface.16.asphere.C	0
surface.16.asphere.D	0
surface.16.asphere.E	0
surface.16.asphere.F	0
surface.16.asphere.G	0
surface.16.asphere.H	0
surface.16.asphere.J	0
surface.17.radius_y_mm	1.000000e+18
surface.17.thickness_mm	0.189104
surface.17.semi_diameter_mm	3.61236
surface.17.glass	
surface.17.nd	1
