schema	atelier-codev-target-v1
status	ok
mode	target
stage	A
source_zmx	US-12372756-B2-e8.zmx
num_fields	2
vignetting_edge	0.5
target.efl_mm	9.97049
target.f_number	4
seed_baseline.efl_y_mm	9.9745
seed_baseline.max_lateral_color_um	0
seed_baseline.max_rms_spot_diameter_um	0
seed_baseline.max_rms_wavefront_error_waves	0
seed_baseline.max_distortion_pct	0
seed_baseline.fno	2.45
seed_baseline.epd_mm	4.07122
seed_baseline.maximh_mm	2.84131
config_pre_aut.efl_y_mm	9.9745
config_pre_aut.max_lateral_color_um	0
config_pre_aut.max_rms_spot_diameter_um	0
config_pre_aut.max_rms_wavefront_error_waves	0
config_pre_aut.max_distortion_pct	0
config_pre_aut.fno	4
config_pre_aut.epd_mm	2.49362
config_pre_aut.maximh_mm	2.84131
post_aut.efl_y_mm	9.9745
post_aut.max_lateral_color_um	0
post_aut.max_rms_spot_diameter_um	0
post_aut.max_rms_wavefront_error_waves	0
post_aut.max_distortion_pct	0
post_aut.fno	4
post_aut.epd_mm	2.49362
post_aut.maximh_mm	2.84131
efl_target_deviation_pct	0.0402268
aut_converged	1
