schema	atelier-codev-target-v1
status	ok
mode	target
stage	probe
source_zmx	US20210165194A1.zmx
num_fields	3
vignetting_edge	0
target.efl_mm	2.4086
seed_baseline.efl_y_mm	2.40615
seed_baseline.max_lateral_color_um	1.69873
seed_baseline.max_rms_spot_diameter_um	8.7515
seed_baseline.max_rms_wavefront_error_waves	0.198182
seed_baseline.max_distortion_pct	4.52595
seed_baseline.fno	2
seed_baseline.epd_mm	1.20308
seed_baseline.maximh_mm	2.62585
config_pre_aut.efl_y_mm	2.40615
config_pre_aut.max_lateral_color_um	1.69873
config_pre_aut.max_rms_spot_diameter_um	8.7515
config_pre_aut.max_rms_wavefront_error_waves	0.198182
config_pre_aut.max_distortion_pct	4.52595
config_pre_aut.fno	2
config_pre_aut.epd_mm	1.20308
config_pre_aut.maximh_mm	2.62585
post_aut.efl_y_mm	2.40582
post_aut.max_lateral_color_um	1.09003
post_aut.max_rms_spot_diameter_um	12.3399
post_aut.max_rms_wavefront_error_waves	0.290117
post_aut.max_distortion_pct	2.71664
post_aut.fno	2
post_aut.epd_mm	1.20291
post_aut.maximh_mm	2.62549
efl_target_deviation_pct	0.115358
aut_converged	1
