case_id	category	scenario	fov_deg	n_pieces	native_efl_mm	native_fnum	direction	target_f_number	source_zmx	rationale	outcome	aut_converged	efl_target_deviation_pct	post_aut_fno	refl_count	miss_count	aperture_conflict_matched	error_kind	error_detail	preflight	duration_seconds	lis_path
US10330891B2	recheck	smartphone-ultrawide	100.000	6	2.4164	2.080	loosen	2.400	US10330891B2.zmx	MAJOR-4 re-archive (fixed trimmer)	TIR	True	0.0709479	2.4	1	0	None				3.52	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\recheck-2026-07-11\US10330891B2\atelier_codev_target_probe_fno0240.lis
US20170003482A1	recheck	smartphone-ultrawide	91.000	7	3.6213	2.320	tighten	1.800	US20170003482A1.zmx	MAJOR-4 re-archive (fixed trimmer)	TIR	True	0.000830255	1.8	1	6	Scaled down SPC data				3.45	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\recheck-2026-07-11\US20170003482A1\atelier_codev_target_probe_fno0180.lis
US20140111876A1	recheck	smartphone-wide	75.200	6	4.1851	2.070	loosen	2.570	US20140111876A1.zmx	MAJOR-4 re-archive (fixed trimmer)	TIR	True	0.038694	2.57	1	0	None				3.47	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\recheck-2026-07-11\US20140111876A1\atelier_codev_target_probe_fno0257.lis
US20140111876A1	recheck	smartphone-wide	75.200	6	4.1851	2.070	loosen	3.000	US20140111876A1.zmx	MAJOR-4 re-archive (fixed trimmer)	TIR	True	0.0853326	3.0	1	0	None				3.42	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\recheck-2026-07-11\US20140111876A1\atelier_codev_target_probe_fno0300.lis
US-12443014-B2-e1	recheck	smartphone-telephoto	15.800	5	17.3271	2.800	loosen	4.000	US-12443014-B2-e1.zmx	MAJOR-4 re-archive (fixed trimmer)	TIR	True	0.168684	4.0	2	0	None				3.44	D:\atelier-wt-c\.planning\loop\p15-stageb-evidence\recheck-2026-07-11\US-12443014-B2-e1\atelier_codev_target_probe_fno0400.lis
