# [EXPERT] TOR/PER/MC semantics and threshold policy require expert ratification; routing proxy and true TOR are mutually incomparable.
candidate	variant	source_zmx	status	yield	trials	saturation	per_field	tor_section	routing_proxy_section
001-e80e70e4	baseline-positive-control	D:\atelier\data\zmx\US20170003482A1.zmx	ok	unavailable	100	0.9966666666666667	unavailable	true TOR only	routing proxy: separate/non-comparable
001-e80e70e4	optimized	D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\asphere\US20170003482A1_target3.797_optimized.zmx	failed:run:CodeVBatchError:CODE V TOR run finished without producing fresh export files	unavailable				true TOR only	routing proxy: separate/non-comparable
002-39413e86	baseline-positive-control	D:\atelier\data\zmx\US20170003482A1.zmx	ok	unavailable	100	0.9966666666666667	unavailable	true TOR only	routing proxy: separate/non-comparable
002-39413e86	optimized	D:\atelier\.planning\loop\candidates-2026-07-09\US20170003482A1\both\US20170003482A1_target3.797_optimized.zmx	failed:run:CodeVBatchError:CODE V TOR run finished without producing fresh export files	unavailable				true TOR only	routing proxy: separate/non-comparable
