schema	atelier-codev-readout-v1
surface.12.radius_y_mm	-2.08699
surface.12.thickness_mm	0.268
surface.12.semi_diameter_mm	1.28684
surface.12.glass	638996.233055
surface.12.nd	1.639
surface.12.vd	23.3055
surface.12.surface_type	ASP
surface.12.is_stop	0
surface.12.asphere.K	1.2718
surface.12.asphere.A	-0.0376825
surface.12.asphere.B	0.246889
surface.12.asphere.C	-0.423318
surface.12.asphere.D	0.403265
surface.12.asphere.E	-0.17202
surface.12.asphere.F	0.024455
surface.12.asphere.G	-1.201166e-12
surface.12.asphere.H	0
surface.12.asphere.J	0
surface.13.radius_y_mm	-3.25628
surface.13.thickness_mm	0.0215329
surface.13.semi_diameter_mm	1.45961
surface.13.glass	
surface.13.nd	1
surface.13.vd	0
surface.13.surface_type	ASP
surface.13.is_stop	0
surface.13.asphere.K	-9.9934
surface.13.asphere.A	-0.187796
surface.13.asphere.B	0.263328
surface.13.asphere.C	-0.301865
surface.13.asphere.D	0.218056
surface.13.asphere.E	-0.080454
surface.13.asphere.F	0.011693
surface.13.asphere.G	-5.342521e-12
surface.13.asphere.H	0
surface.13.asphere.J	0
surface.14.radius_y_mm	1.99173
surface.14.thickness_mm	0.419
surface.14.semi_diameter_mm	1.76897
surface.14.glass	543992.328051
surface.14.nd	1.54399
surface.14.vd	32.8051
surface.14.surface_type	ASP
surface.14.is_stop	0
surface.14.asphere.K	-10.051
surface.14.asphere.A	-0.0431555
surface.14.asphere.B	0.0314655
surface.14.asphere.C	-0.0826172
surface.14.asphere.D	0.0510255
surface.14.asphere.E	-0.018106
surface.14.asphere.F	0.0029196
surface.14.asphere.G	5.243672e-13
surface.14.asphere.H	0
surface.14.asphere.J	0
surface.15.radius_y_mm	1.95313
surface.15.thickness_mm	0.252016
surface.15.semi_diameter_mm	2.18604
surface.15.glass	
surface.15.nd	1
surface.15.vd	0
surface.15.surface_type	ASP
surface.15.is_stop	0
surface.15.asphere.K	-14.423
surface.15.asphere.A	-0.0195068
surface.15.asphere.B	0.0124454
surface.15.asphere.C	-0.0267688
surface.15.asphere.D	0.0111869
surface.15.asphere.E	-0.00171565
surface.15.asphere.F	0.000084
surface.15.asphere.G	2.062913e-08
surface.15.asphere.H	0
surface.15.asphere.J	0
surface.16.radius_y_mm	1.39234
surface.16.thickness_mm	0.587
