schema	atelier-codev-readout-v1
surface.12.semi_diameter_mm	1.25939
surface.12.glass	638592.229732
surface.12.nd	1.63859
surface.12.vd	22.9732
surface.12.surface_type	ASP
surface.12.is_stop	0
surface.12.asphere.K	1.2718
surface.12.asphere.A	-0.036316
surface.12.asphere.B	0.247474
surface.12.asphere.C	-0.423039
surface.12.asphere.D	0.403403
surface.12.asphere.E	-0.172
surface.12.asphere.F	0.0244479
surface.12.asphere.G	-0.000002
surface.12.asphere.H	0
surface.12.asphere.J	0
surface.13.radius_y_mm	-2.80935
surface.13.thickness_mm	0.03506
surface.13.semi_diameter_mm	1.37743
surface.13.glass	
surface.13.nd	1
surface.13.vd	0
surface.13.surface_type	ASP
surface.13.is_stop	0
surface.13.asphere.K	-9.9934
surface.13.asphere.A	-0.191933
surface.13.asphere.B	0.26162
surface.13.asphere.C	-0.30196
surface.13.asphere.D	0.218015
surface.13.asphere.E	-0.080456
surface.13.asphere.F	0.0116924
surface.13.asphere.G	-3.268437e-07
surface.13.asphere.H	0
surface.13.asphere.J	0
surface.14.radius_y_mm	2.24683
surface.14.thickness_mm	0.419
surface.14.semi_diameter_mm	1.48708
surface.14.glass	543809.559824
surface.14.nd	1.54381
surface.14.vd	55.9824
surface.14.surface_type	ASP
surface.14.is_stop	0
surface.14.asphere.K	-10.051
surface.14.asphere.A	-0.0420049
surface.14.asphere.B	0.0319062
surface.14.asphere.C	-0.0826712
surface.14.asphere.D	0.0510425
surface.14.asphere.E	-0.0181038
surface.14.asphere.F	0.00291885
surface.14.asphere.G	-0.000001
surface.14.asphere.H	0
surface.14.asphere.J	0
surface.15.radius_y_mm	1.88823
surface.15.thickness_mm	0.241699
surface.15.semi_diameter_mm	1.86493
surface.15.glass	
surface.15.nd	1
surface.15.vd	0
surface.15.surface_type	ASP
surface.15.is_stop	0
surface.15.asphere.K	-14.423
surface.15.asphere.A	-0.0188154
surface.15.asphere.B	0.0124511
surface.15.asphere.C	-0.0268142
surface.15.asphere.D	0.0111974
surface.15.asphere.E	-0.00171496
surface.15.asphere.F	0.000084
surface.15.asphere.G	-9.053560e-09
surface.15.asphere.H	0
surface.15.asphere.J	0
